Address,CustomerID
"311 Đường Dũng, Phường 1, Quận 11, TP. Hồ Chí Minh",CUST00001
"933 Đường Anh, Phường 11, Quận 4, TP. Hồ Chí Minh",CUST00001
"483 Đường Minh, Phường 14, Quận 2, TP. Hồ Chí Minh",CUST00001
"26 Đường Khánh, Phường 2, Quận 11, TP. Hồ Chí Minh",CUST00002
"348 Đường 278, Phường 2, Quận 1, TP. Hồ Chí Minh",CUST00002
"269 Đường Anh, Phường 8, Quận 2, TP. Hồ Chí Minh",CUST00003
"677 Đường Minh, Phường 6, Quận 4, TP. Hồ Chí Minh",CUST00003
"837 Đường Minh, Phường 1, Quận 10, TP. Hồ Chí Minh",CUST00004
"217 Đường Ngọc, Phường 14, Quận 1, TP. Hồ Chí Minh",CUST00005
"115 Đường 7, Phường 1, Quận 6, TP. Hồ Chí Minh",CUST00006
"560 Đường Anh, Phường 13, Quận 8, TP. Hồ Chí Minh",CUST00006
"369 Đường Khánh, Phường 14, Quận 2, TP. Hồ Chí Minh",CUST00006
"171 Đường 707, Phường 8, Quận 12, TP. Hồ Chí Minh",CUST00007
"126 Đường Châu, Phường 13, Quận 3, TP. Hồ Chí Minh",CUST00008
"508 Đường Châu, Phường 14, Quận 4, TP. Hồ Chí Minh",CUST00009
"937 Đường Châu, Phường 8, Quận 3, TP. Hồ Chí Minh",CUST00009
"457 Đường Linh, Phường 13, Quận 6, TP. Hồ Chí Minh",CUST00010
"406 Đường 362, Phường 8, Quận 6, TP. Hồ Chí Minh",CUST00010
"697 Đường Khánh, Phường 9, Quận 7, TP. Hồ Chí Minh",CUST00011
"866 Đường 254, Phường 4, Quận 9, TP. Hồ Chí Minh",CUST00011
"590 Đường Ngọc, Phường 5, Quận 4, TP. Hồ Chí Minh",CUST00011
"907 Đường 73, Phường 9, Quận 8, TP. Hồ Chí Minh",CUST00012
"202 Đường Khánh, Phường 12, Quận 5, TP. Hồ Chí Minh",CUST00012
"826 Đường Dũng, Phường 3, Quận 11, TP. Hồ Chí Minh",CUST00012
"918 Đường Bảo, Phường 5, Quận 5, TP. Hồ Chí Minh",CUST00013
"333 Đường Giang, Phường 14, Quận 12, TP. Hồ Chí Minh",CUST00013
"990 Đường Anh, Phường 14, Quận 8, TP. Hồ Chí Minh",CUST00014
"491 Đường 229, Phường 15, Quận 12, TP. Hồ Chí Minh",CUST00014
"388 Đường Minh, Phường 6, Quận 1, TP. Hồ Chí Minh",CUST00014
"116 Đường 146, Phường 3, Quận 10, TP. Hồ Chí Minh",CUST00015
"611 Đường 525, Phường 7, Quận 2, TP. Hồ Chí Minh",CUST00015
"78 Đường 416, Phường 9, Quận 8, TP. Hồ Chí Minh",CUST00016
"571 Đường Bảo, Phường 14, Quận 1, TP. Hồ Chí Minh",CUST00016
"793 Đường 514, Phường 9, Quận 8, TP. Hồ Chí Minh",CUST00017
"856 Đường Bảo, Phường 5, Quận 4, TP. Hồ Chí Minh",CUST00018
"969 Đường Minh, Phường 6, Quận 1, TP. Hồ Chí Minh",CUST00019
"809 Đường Khánh, Phường 15, Quận 5, TP. Hồ Chí Minh",CUST00020
"604 Đường 155, Phường 10, Quận 5, TP. Hồ Chí Minh",CUST00020
"189 Đường Bảo, Phường 3, Quận 3, TP. Hồ Chí Minh",CUST00020
"420 Đường 799, Phường 2, Quận 8, TP. Hồ Chí Minh",CUST00021
"775 Đường 28, Phường 10, Quận 9, TP. Hồ Chí Minh",CUST00021
"608 Đường 227, Phường 15, Quận 5, TP. Hồ Chí Minh",CUST00021
"374 Đường 417, Phường 7, Quận 4, TP. Hồ Chí Minh",CUST00022
"616 Đường Dũng, Phường 3, Quận 6, TP. Hồ Chí Minh",CUST00022
"580 Đường 84, Phường 8, Quận 6, TP. Hồ Chí Minh",CUST00023
"698 Đường Giang, Phường 15, Quận 7, TP. Hồ Chí Minh",CUST00024
"794 Đường 807, Phường 13, Quận 2, TP. Hồ Chí Minh",CUST00025
"555 Đường Minh, Phường 2, Quận 2, TP. Hồ Chí Minh",CUST00025
"851 Đường Khánh, Phường 5, Quận 2, TP. Hồ Chí Minh",CUST00026
"918 Đường 171, Phường 13, Quận 7, TP. Hồ Chí Minh",CUST00026
